Skill-ID;Aktueller Name;Hercules Name;Zukuenftiger Name
SM_MOVINGRECOVERY;HP Recovery While Moving;Moving HP-Recovery;
TF_SPRINKLESAND;Sprinkle Sand;Sand Attack;
TF_THROWSTONE;Throw Stone;Stone Fling;
KN_TWOHANDQUICKEN;Two-Hand Quicken;Twohand Quicken;
KN_ONEHAND;One-Hand Quicken;Onehand Quicken;
BS_ENCHANTEDSTONE;Enchantedstone Craft;Enchanted Stone Craft;
BS_KNUCKLE;Smith Knucklemace;Smith Knucklebrace;
CR_REFLECTSHIELD;Reflect Shield;Shield Reflect;
CR_DEVOTION;Devotion;Sacrifice;
CR_DEFENDER;Defender;Defending Aura;
MO_STEELBODY;Steel Body;Mental Strength;
SA_FLAMELAUNCHER;Flame Launcher;Endow Blaze;
SA_FROSTWEAPON;Frost Weapon;Endow Tsunami;
SA_LIGHTNINGLOADER;Lightning Loader;Endow Tornado;
SA_SEISMICWEAPON;Seismic Weapon;Endow Quake;
SA_VIOLENTGALE;Violent Gale;Whirlwind;
SA_LANDPROTECTOR;Land Protector;Magnetic Earth;
SA_ABRACADABRA;Hocus-Pocus;Hocus-pocus;
SA_ELEMENTWATER;Elemental Change (Water);Elemental Change Water;
SA_ELEMENTGROUND;Elemental Change (Earth);Elemental Change Earth;
SA_ELEMENTFIRE;Elemental Change (Fire);Elemental Change Fire;
SA_ELEMENTWIND;Elemental Change (Wind);Elemental Change Wind;
RG_SNATCHER;Snatcher;Gank;
RG_PLAGIARISM;Plagiarism;Intimidate;
RG_GANGSTER;Gangster's Paradise;Slyness;
AM_CP_HELM;Chemical Protection Helm;Biochemical Helm;
AM_CP_ARMOR;Chemical Protection Armor;Synthetic Armor;
AM_CP_SHIELD;Chemical Protection Shield;Synthesized Shield;
AM_CP_WEAPON;Chemical Protection Weapon;Alchemical Weapon;
AM_RESURRECTHOMUN;Resurrect Homunculus;Homunculus Resurrection;
AM_BERSERKPITCHER;Berserk Pitcher;Aid Berserk Potion;
BA_MUSICALLESSON;Musical Lesson;Music Lessons;
BA_DISSONANCE;Dissonance;Unchained Serenade;
BD_ROKISWEIL;Loki's Veil;Classical Pluck;
BD_SIEGFRIED;Invulnerable Siegfried;Acoustic Rhythm;
BD_DRUMBATTLEFIELD;Drum on the Battlefield;Battle Theme;
BD_RICHMANKIM;Mr. Kim a Rich Man;Mental Sensing;
BD_ETERNALCHAOS;Eternal Chaos;Down Tempo;
BD_RINGNIBELUNGEN;Ring of Nibelungen;Harmonic Lick;
BD_INTOABYSS;Into the Abyss;Power Chord;
DC_DANCINGLESSON;Dancing Lesson;Dance Lessons;
GS_BULLSEYE;Bull's Eye;Bulls Eye;
GS_ADJUSTMENT;Adjustment;AdJustment;
GS_INCREASING;Increase Accuracy;Increasing Accuracy;
NJ_TOBIDOUGU;Throwing Mastery;Shuriken Training;
NJ_ZENYNAGE;Throw Coins;Throw Zeny;
NJ_TATAMIGAESHI;Flip Tatami;Improvised Defense;
NJ_KASUMIKIRI;Mist Slash;Vanishing Slash;
NJ_UTSUSEMI;Cicada Skin Shedding;Cicada Skin Sheeding;
NJ_NEN;Spirit of the Blade;Soul;
NJ_BUNSINJYUTSU;Illusionary Shadow;Mirror Image;
NJ_NINPOU;Ninpou Training;Spirit of the Blade;
NJ_SUITON;Water Escape Technique;Hidden Water;
NJ_HYOUSYOURAKU;Falling Ice Pillar;Ice Meteor;
NJ_RAIGEKISAI;Lightning Crash;Lightning Strike of Destruction;
NJ_KAMAITACHI;First Wind;Kamaitachi;
NJ_ISSEN;Killing Stroke;Final Strike;
TK_RUN;Sprint;Running;
TK_STORMKICK;Storm Kick;Tornado Kick;
TK_READYSTORM;Prepare Storm Kick;Tornado Stance;
TK_READYDOWN;Prepare Heel Drop;Heel Drop Stance;
TK_READYTURN;Prepare Roundhouse;Roundhouse Stance;
TK_READYCOUNTER;Prepare Counter Kick;Counter Kick Stance;
TK_SEVENWIND;Warm Wind;Mild Wind;
SG_FEEL;Feeling of the Sun, Moon and Stars;Feeling the Sun Moon and Stars;
SG_HATE;Hatred of the Sun, Moon and Stars;Hatred of the Sun Moon and Stars;
SG_DEVIL;Demon of the Sun, Moon and Stars;Demon of the Sun Moon and Stars;
SG_FRIEND;Friend of the Sun, Moon and Stars;Friend of the Sun Moon and Stars;
SG_KNOWLEDGE;Knowledge of the Sun, Moon and Stars;Knowledge of the Sun Moon and Stars;
SG_FUSION;Union of the Sun, Moon and Stars;Union of the Sun Moon and Stars;
SL_ALCHEMIST;Alchemist Spirit;Spirit of the Alchemist;
SL_MONK;Monk Spirit;Spirit of the Monk;
SL_STAR;Star Gladiator Spirit;Spirit of the Star Gladiator;
SL_SAGE;Sage Spirit;Spirit of the Sage;
SL_CRUSADER;Crusader Spirit;Spirit of the Crusader;
SL_SUPERNOVICE;Super Novice Spirit;Spirit of the Supernovice;
SL_KNIGHT;Knight Spirit;Spirit of the Knight;
SL_WIZARD;Wizard Spirit;Spirit of the Wizard;
SL_PRIEST;Priest Spirit;Spirit of the Priest;
SL_BARDDANCER;Bard and Dancer Spirit;Spirit of the Artist;
SL_ASSASIN;Assassin Spirit;Spirit of the Assasin;
SL_ROGUE;Rogue Spirit;Spirit of the Rogue;
SL_BLACKSMITH;Blacksmith Spirit;Spirit of the Blacksmith;
SL_HUNTER;Hunter Spirit;Spirit of the Hunter;
SL_SOULLINKER;Soul Linker Spirit;Spirit of the Soul Linker;
SL_HIGH;1st Transcendent Spirit;Spirit of Rebirth;
LK_TENSIONRELAX;Tension Relax;Relax;
LK_BERSERK;Berserk;Frenzy;
LK_HEADCRUSH;Head Crush;Traumatic Blow;
LK_JOINTBEAT;Joint Beat;Vital Strike;
HW_GRAVITATION;Gravitational Field;Gravitation Field;
WS_MELTDOWN;Melt Down;Shattering Strike;
WS_WEAPONREFINE;Weapon Refine;Upgrade Weapon;
SN_SIGHT;True Sight;Falcon Eyes;
SN_WINDWALK;Wind Walk;Wind Walker;
ASC_BREAKER;Soul Breaker;Soul Destroyer;
PA_PRESSURE;Pressure;Gloria Domini;
PA_SACRIFICE;Sacrifice;Martyr's Reckoning;
CH_PALMSTRIKE;Palm Push Strike;Raging Palm Strike;
CH_TIGERFIST;Tiger Knuckle Fist;Glacier Fist;
PF_SOULCHANGE;Soul Exchange;Soul Exhale;
PF_SOULBURN;Soul Burn;Soul Siphon;
PF_FOGWALL;Wall of Fog;Blinding Mist;
ST_CHASEWALK;Chase Walk;Stealth;
ST_FULLSTRIP;Full Strip;Divest All;
CR_SLIMPITCHER;Slim Potion Pitcher;Aid Condensed Potion;
CR_FULLPROTECTION;Full Chemical Protection;Full Protection;
CG_ARROWVULCAN;Arrow Vulcan;Vulcan Arrow;
